 shot  ray#     dist   amplitude     phase  code
   -1   22    23.018   0.149E-02      0.00   5.2
   -1   23    23.645   0.168E-02      0.00   5.2
   -1   24    24.268   0.187E-02      0.00   5.2
   -1   25    24.888   0.207E-02      0.00   5.2
   -1   26    25.507   0.226E-02      0.00   5.2
   -1   27    26.118   0.242E-02      0.00   5.2
   -1   28    26.742   0.256E-02      0.00   5.2
   -1   29    27.411   0.274E-02      0.00   5.2
   -1   30    27.972   0.289E-02      0.00   5.2
   -1    1     7.408   0.474E-04      0.00   6.1
   -1    2     7.347   0.477E-04      0.00   6.1
   -1    3     7.179   0.474E-04      0.00   6.1
   -1    4     6.880   0.453E-04      0.00   6.1
   -1    5     6.437   0.469E-04      0.00   6.1
   -1    6     4.173   0.615E-04      0.00   6.1
   -1    7     3.663   0.844E-04      0.00   6.1
   -1    8     3.038   0.105E-03      0.00   6.1
   -1    9     2.278   0.112E-03      0.00   6.1
   -1   10     1.318   0.113E-03      0.00   6.1
   -1   11     0.100   0.115E-03      0.00   6.1
   -1   16     0.442   0.103E-02      0.00   6.2
   -1   17     2.575   0.985E-03      0.00   6.2
   -1   18     4.640   0.965E-03      0.00   6.2
   -1   19     6.641   0.991E-03      0.00   6.2
   -1   20     8.586   0.105E-02      0.00   6.2
   -1   21    10.483   0.114E-02      0.00   6.2
   -1   22    12.349   0.126E-02      0.00   6.2
   -1   23    14.176   0.139E-02      0.00   6.2
   -1   24    16.063   0.154E-02      0.00   6.2
   -1   25    17.794   0.170E-02      0.00   6.2
   -1   26    19.603   0.184E-02      0.00   6.2
   -1   27    21.386   0.198E-02      0.00   6.2
   -1   28    23.178   0.209E-02      0.00   6.2
   -1   29    25.017   0.218E-02      0.00   6.2
   -1   30    26.843   0.223E-02      0.00   6.2
   -1   13     0.645   0.178E-04      0.00   7.2
   -1   14     2.893   0.175E-04      0.00   7.2
   -1   15     5.134   0.178E-04      0.00   7.2
   -1   16     7.299   0.191E-04      0.00   7.2
   -1   17     9.429   0.213E-04      0.00   7.2
   -1   18    11.542   0.243E-04      0.00   7.2
   -1   19    13.628   0.278E-04      0.00   7.2
   -1   20    15.780   0.318E-04      0.00   7.2
   -1   21    17.798   0.359E-04      0.00   7.2
   -1   22    19.907   0.399E-04      0.00   7.2
   -1   23    22.007   0.433E-04      0.00   7.2
   -1   24    24.138   0.460E-04      0.00   7.2
   -1   25    26.342   0.474E-04      0.00   7.2
    1    1    31.832   0.405E-01      0.00   1.1
    1    2    32.181   0.397E-01      0.00   1.1
    1    3    32.603   0.385E-01      0.00   1.1
    1    4    33.125   0.370E-01      0.00   1.1
    1    5    33.785   0.356E-01      0.00   1.1
    1    6    34.433   0.344E-01      0.00   1.1
    1    7    34.773   0.333E-01      0.00   1.1
    1    8    35.153   0.323E-01      0.00   1.1
    1    9    35.579   0.313E-01      0.00   1.1
    1   10    36.061   0.304E-01      0.00   1.1
    1   11    36.611   0.295E-01      0.00   1.1
    1   12    37.242   0.287E-01      0.00   1.1
    1   13    37.976   0.279E-01      0.00   1.1
    1   14    38.393   0.271E-01      0.00   1.1
    1   15    38.832   0.264E-01      0.00   1.1
    1   16    39.311   0.257E-01      0.00   1.1
    1   17    39.836   0.251E-01      0.00   1.1
    1   18    40.413   0.245E-01      0.00   1.1
    1   19    41.050   0.239E-01      0.00   1.1
    1   20    41.757   0.233E-01      0.00   1.1
    1   21    42.547   0.228E-01      0.00   1.1
    1   22    43.208   0.224E-01      0.00   1.1
    1   23    43.757   0.220E-01      0.00   1.1
    1   24    44.348   0.216E-01      0.00   1.1
    1   25    44.986   0.212E-01      0.00   1.1
    1   26    45.677   0.209E-01      0.00   1.1
    1   27    46.346   0.206E-01      0.00   1.1
    1   28    46.871   0.203E-01      0.00   1.1
    1   29    47.429   0.200E-01      0.00   1.1
    1   30    48.022   0.197E-01      0.00   1.1
    1   31    48.653   0.194E-01      0.00   1.1
    1   32    49.326   0.192E-01      0.00   1.1
    1   33    50.046   0.189E-01      0.00   1.1
    1   34    50.817   0.186E-01      0.00   1.1
    1   35    51.529   0.184E-01      0.00   1.1
    1   36    52.159   0.182E-01      0.00   1.1
    1   37    52.724   0.179E-01      0.00   1.1
    1   38    53.317   0.177E-01      0.00   1.1
    1   39    53.941   0.175E-01      0.00   1.1
    1   40    54.598   0.173E-01      0.00   1.1
    1   41    55.290   0.171E-01      0.00   1.1
    1   42    56.020   0.169E-01      0.00   1.1
    1   43    56.792   0.167E-01      0.00   1.1
    1   44    57.419   0.165E-01      0.00   1.1
    1   45    58.022   0.163E-01      0.00   1.1
    1   46    58.651   0.161E-01      0.00   1.1
    1   47    59.309   0.160E-01      0.00   1.1
    1   48    59.997   0.158E-01      0.00   1.1
    1   49    60.717   0.156E-01      0.00   1.1
    1   50    61.472   0.154E-01      0.00   1.1
    1   51    62.197   0.153E-01      0.00   1.1
    1   52    62.810   0.151E-01      0.00   1.1
    1   53    63.447   0.150E-01      0.00   1.1
    1   54    64.109   0.149E-01      0.00   1.1
    1   55    64.798   0.147E-01      0.00   1.1
    1   56    65.516   0.146E-01      0.00   1.1
    1   57    66.265   0.144E-01      0.00   1.1
    1   58    67.046   0.143E-01      0.00   1.1
    1   59    67.703   0.142E-01      0.00   1.1
    1   60    68.346   0.142E-01      0.00   1.1
    1    1    65.120   0.144E-01    179.38   1.2
    1    2    53.104   0.170E-01    176.02   1.2
    1    3    48.435   0.215E-01    173.98   1.2
    1    4    45.815   0.271E-01    172.20   1.2
    1    5    43.725   0.330E-01    170.41   1.2
    1    6    42.058   0.391E-01    168.55   1.2
    1    7    40.710   0.452E-01    166.61   1.2
    1    8    39.705   0.514E-01    164.57   1.2
    1    9    38.863   0.573E-01    162.36   1.2
    1   10    38.143   0.630E-01    159.95   1.2
    1   11    37.465   0.686E-01    157.30   1.2
    1   12    36.856   0.745E-01    154.37   1.2
    1   13    36.315   0.809E-01    151.12   1.2
    1   14    35.831   0.876E-01    147.50   1.2
    1   15    35.394   0.947E-01    143.45   1.2
    1   16    34.996   0.102E+00    138.90   1.2
    1   17    34.633   0.110E+00    133.75   1.2
    1   18    34.299   0.119E+00    127.93   1.2
    1   19    33.991   0.128E+00    121.28   1.2
    1   20    33.704   0.137E+00    113.66   1.2
    1   21    33.438   0.147E+00    104.84   1.2
    1   22    33.188   0.157E+00     94.51   1.2
    1   23    32.955   0.165E+00     82.16   1.2
    1   24    32.685   0.169E+00     66.82   1.2
    1   25    32.474   0.163E+00     45.88   1.2
    1   26    32.275   0.146E+00      0.00   1.2
    1   27    32.093   0.121E+00      0.00   1.2
    1   28    31.921   0.969E-01      0.00   1.2
    1   29    31.748   0.788E-01      0.00   1.2
    1   30    31.582   0.679E-01      0.00   1.2
    1   31    31.423   0.623E-01      0.00   1.2
    1   32    31.270   0.598E-01      0.00   1.2
    1   33    31.122   0.592E-01      0.00   1.2
    1   34    30.980   0.597E-01      0.00   1.2
    1   35    30.858   0.608E-01      0.00   1.2
    1   36    30.725   0.624E-01      0.00   1.2
    1   37    30.596   0.645E-01      0.00   1.2
    1   38    30.471   0.671E-01      0.00   1.2
    1   39    30.349   0.702E-01      0.00   1.2
    1   40    30.231   0.736E-01      0.00   1.2
    1   41    30.116   0.773E-01      0.00   1.2
    1   42    30.004   0.812E-01      0.00   1.2
    1   43    29.894   0.852E-01      0.00   1.2
    1   44    29.787   0.893E-01      0.00   1.2
    1   45    29.683   0.934E-01      0.00   1.2
    1   46    29.580   0.974E-01      0.00   1.2
    1   47    29.479   0.101E+00      0.00   1.2
    1   48    29.379   0.105E+00      0.00   1.2
    1   49    29.281   0.109E+00      0.00   1.2
    1   50    29.184   0.112E+00      0.00   1.2
    1   51    29.088   0.116E+00      0.00   1.2
    1   52    28.993   0.119E+00      0.00   1.2
    1   53    28.899   0.122E+00      0.00   1.2
    1   54    28.806   0.125E+00      0.00   1.2
    1   55    28.714   0.127E+00      0.00   1.2
    1   56    28.623   0.129E+00      0.00   1.2
    1   57    28.532   0.131E+00      0.00   1.2
    1   58    28.441   0.132E+00      0.00   1.2
    1   59    28.351   0.133E+00      0.00   1.2
    1   60    28.261   0.133E+00      0.00   1.2
    1    1    32.303   0.812E-02      0.00   2.1
    1    2    33.187   0.106E-01      0.00   2.1
    1    3    33.566   0.145E-01      0.00   2.1
    1    4    33.852   0.185E-01      0.00   2.1
    1    5    34.087   0.222E-01      0.00   2.1
    1    6    34.315   0.255E-01      0.00   2.1
    1    7    34.495   0.285E-01      0.00   2.1
    1    8    34.674   0.311E-01      0.00   2.1
    1    9    34.841   0.334E-01      0.00   2.1
    1   10    34.987   0.353E-01      0.00   2.1
    1   11    35.146   0.369E-01      0.00   2.1
    1   12    35.283   0.381E-01      0.00   2.1
    1   13    35.413   0.392E-01      0.00   2.1
    1   14    35.549   0.402E-01      0.00   2.1
    1   15    35.675   0.410E-01      0.00   2.1
    1   16    35.789   0.419E-01      0.00   2.1
    1   17    35.906   0.427E-01      0.00   2.1
    1   18    36.026   0.435E-01      0.00   2.1
    1   19    36.132   0.443E-01      0.00   2.1
    1   20    36.235   0.450E-01      0.00   2.1
    1   21    36.325   0.456E-01      0.00   2.1
    1   22    36.432   0.461E-01      0.00   2.1
    1   23    36.532   0.465E-01      0.00   2.1
    1   24    36.625   0.469E-01      0.00   2.1
    1   25    36.719   0.472E-01      0.00   2.1
    1   26    36.816   0.474E-01      0.00   2.1
    1   27    36.915   0.477E-01      0.00   2.1
    1   28    37.000   0.480E-01      0.00   2.1
    1   29    37.087   0.483E-01      0.00   2.1
    1   30    37.192   0.486E-01      0.00   2.1
    1   31    37.279   0.490E-01      0.00   2.1
    1   32    37.368   0.495E-01      0.00   2.1
    1   33    37.447   0.499E-01      0.00   2.1
    1   34    37.526   0.503E-01      0.00   2.1
