
dc between calculated and observed response: -429.618 mgal


 distance    obs   calc grav anom  diff
   -20.171   -16.674   -13.925     2.749
   -19.171   -16.787   -13.963     2.824
   -18.171   -16.896   -14.003     2.893
   -17.172   -17.001   -14.043     2.958
   -16.172   -17.104   -14.084     3.020
   -15.172   -17.202   -14.149     3.054
   -14.173   -17.298   -14.219     3.079
   -13.173   -17.389   -14.289     3.101
   -12.173   -17.478   -14.359     3.119
   -11.174   -17.607   -14.449     3.158
   -10.174   -17.744   -14.543     3.201
    -9.174   -17.850   -14.637     3.213
    -8.175   -17.947   -14.731     3.216
    -7.175   -18.041   -14.839     3.202
    -6.175   -18.130   -14.950     3.180
    -5.176   -18.216   -15.060     3.155
    -4.176   -18.297   -15.171     3.126
    -3.176   -18.375   -15.288     3.086
    -2.177   -18.448   -15.407     3.041
    -1.177   -18.517   -15.525     2.992
    -0.178   -18.583   -15.644     2.939
     0.822   -18.644   -15.776     2.868
     1.822   -18.702   -15.912     2.790
     2.821   -18.775   -16.047     2.728
     3.821   -18.868   -16.182     2.686
     4.821   -18.958   -16.348     2.610
     5.820   -19.049   -16.520     2.530
     6.820   -19.146   -16.692     2.454
     7.820   -19.246   -16.864     2.382
     8.819   -19.350   -17.083     2.267
     9.819   -19.458   -17.312     2.145
    10.819   -19.570   -17.542     2.028
    11.818   -19.686   -17.772     1.914
    12.818   -19.806   -18.057     1.748
    13.818   -19.930   -18.355     1.574
    14.817   -20.058   -18.653     1.404
    15.817   -20.190   -18.951     1.238
    16.817   -20.324   -19.294     1.030
    17.816   -20.454   -19.647     0.807
    18.816   -20.680   -20.000     0.680
    19.816   -20.927   -20.353     0.574
    20.815   -21.183   -20.726     0.456
    21.815   -21.447   -21.104     0.343
    22.814   -21.720   -21.483     0.238
    23.814   -22.003   -21.861     0.142
    24.814   -22.294   -22.236     0.058
    25.813   -22.594   -22.611    -0.017
    26.813   -22.903   -22.985    -0.082
    27.813   -23.221   -23.360    -0.139
    28.812   -23.548   -23.716    -0.168
    29.812   -23.883   -24.068    -0.185
    30.812   -24.228   -24.420    -0.192
    31.811   -24.618   -24.772    -0.154
    32.811   -25.065   -25.104    -0.039
    33.811   -25.515   -25.430     0.085
    34.810   -25.962   -25.757     0.205
    35.810   -26.405   -26.083     0.322
    36.810   -26.846   -26.380     0.466
    37.809   -27.284   -26.670     0.614
    38.809   -27.719   -26.960     0.759
